video0|a car is shown
video736|a girl and boy are sharing their experience
video737|a animal is sitting on the men lap
video738|a black car is sitting in an outdoor plaza
video739|a child repeating after a tv
video740|a big cat is in a play
video741|clouds and water moves very fastly then workers do their work
video742|a man is giving a translation of a russian speach
video743|a bearded man takes down another man during live professional wrestling
video744|a cook stirring food in a pan
video745|a girl getting interviewed by a man
video746|a boy and a girl are dancing in a car
video747|a cartoon family plays together
video748|a couple are arguing
video749|a clip from scary movie
video750|a commercial about some stuff it looks like
video751|a group of hikers hike to the top of a mountain
video752|a clip of two young girls on the ellen show
video753|a band poses for a picture outside
video754|a chinchilla as a pet 
video755|a man wearing a suit walks down a dark hallway
video756|a how to video on how to remove the headlights on a ford vehicle
video757|a woman is singing and dancing on a video
video758| people are angry on something
video759|a cartoon character is watching tv with a monkey
video760|a basketball player is about to slam dunk
video761|a girl singing to another girl
video762|a wrestling match at a gym
video763|a woman sits in a room and applies makeup to her eyes with a brush
video764|a cute horse toy is shown
video765|there are some apples cutting and some apple trees are there
video766|a guy in his room showing off his camera
video767|a clip of the game spongebob squarepants
video768|a group of men speak to a man for an interview
video769|a man is cooking a meat in a skillet on the stove
video770|a man and a woman are talking outside their house
video771|a child is talking on camera
video772|a man riding the bike with full speed and doing some stunts on it
video773|a man explains the role of technology in education and relates it to a hammer
video774|a commercial for a cw tv show
video775|a man explains how to name an action using certain software
video776|a girl is doing acrobatics
video777|a fashion model walking the runway in neutral tone clothing
video778|a football player and a coach shake hands
video779|a lady in the kitchen cooking food
video780|a man turns into the incredible hulk while strapped to a table
video781|an ad for a school program showing a woman in a lab coat looking at a computer monitor and wording come on the screen about different aspects of the program
video782|a game is being played
video783|a man is demonstrating an experiment involving a microwave
video784|a bearded robin williams explains a funny story to david lettermn
video785|a man ais giving a speech on stage
video786|a video showing pics of miss lebanon dressed in a bikini
video787|a person is playing a badminton game
video788|a band is performing a song live
video789|a man talking about how to play mega man games
video790|a clip from the televison show the voice
video791|a news commentator discusses a gigantic closet of shoes owned by kylie jenner
video792|a major speaks about the security at mall of america
video793|a behind the scenes look at pirates of the carribbean
video794|a big pool with water and a ladder the guy was in there hot out and went inside
video795|a clip is shown of two players battling in lacrosse
video796|a girl preparing some food
video797|a gta player drives through the streets
video798|a couple prepares to be wed
video799|a mens wrestling match
video800|a cartoon about barbie
video801|word dexter appears in red shirtless man looks in mirror and shaves hair
video802|a close up of a dashboard
video803|a boy explaining something in the kitchen
video804|a cup of coffee on the table
video805|a male destroying things wearing a red mask this looks like it is a trailer for the avengers
video806|a bunch of llamas running around a yard in front of a barn
video807|a cartoon game of a truck jumping across a bridge
video808|a woman cooking up some shrimp in large glass bowl
video809|a guy talking about mind craft and playing
video810|a diver swims in the ocean with fish and a manta ray while filming the ray
video811|a boy and his horse are finding the super story answer
video812|a split screen on cnn of political debates
video813|a black guy is dancing in the kitchen
video814|a clip of a band performing in a music video
video815|a bear sits and rides a car
video816|two chefs teach a third woman to chop onions and chilies properly
video817|a little machine that dispenses a drink
video818|a boy trying to say something to others about his experience
video819|a boy flies in an anime cartoon
video820|there is a man is talking about a new machine
video821|a child is playing with a ball
video822|a female newscaster setting up a news piece
video823|a girl talking to the camera
video824|a group of animated knights are attacking a siege weapon in a video game
video825|a woman with a yellow and gray checked backpack walks next to a small waterfall
video826|a group of men talking about pop culture
video827|a man and woman discuss a woman who volunteered on a movie set
video828|a cartoon dog plays with a soccer ball
video829|a girl records her experience
video830|a blond girl is drawing on a marker board
video831|a bike is shown around other materials
video832|a clip from a tv show is showing
video833|a girl is explaining about travel bag
video834|a animate character are talking
video835|a man in blue shirt is swimming and struggling to save himself while rescuers come in time
video836|a commercial about coffee
video837|people wearing yellow hats dancing at a concert
video838|a man keep down the dog from the chair and put some foods to eat
video839|blue liquid coming down that eventually makes letters
video840|a cartoon showing mini versions of colored animals
video841|a group is dancing
video842| animated guys flying in flight
video843|a lego character is jumping out of a truck in a video game
video844|a couple of guys with children s voices
video845|a girl talks about an accessory to help with cords
video846|a couple slowing dancing
video847|a boy bouncing a basketball
video848|a band is performing a song on stage
video849|a government panel or symposium in an arabic country people seated in the audience in traditional islamic garb
video850|a cartoon boy plays checkers with a monkey
video851|a child is playing with a toy
video852|a game is being played
video853|a computer screen is displayed as a man speaks in a foreign language
video854|a person is frying meat in the kitchen
video855|some one showing the beautiful scene of the nature
video856|a lady is describing about the vegetarian food type people
video857|a woman commenting on a soap opera and a scene from the show is playing
video858|a cloth is flying in air as a beautiful girl just shows her presense
video859|a man doing sports activity in ground
video860|a model of the earth spins as it is separated by its techtonic plates
video861|a homeless man gets a bag
video862|a computer program is being shown on a computer monitor
video863|there is a woman talking about a room
video864|a acura integra for sale
video865|a crowd sings
video866|a fan falls in love with triple h at a show and has rabbits fly across the screen
video867|a black honda car and a man are shown
video868|a boy playing shut up and dance on a guitar
video869|a band is performing a song on stage
video870|a cartoon involving animals
video871|a car engine bay with lots of tubes and wires is examined
video872|instrumental music plays while a person in a red and white apron dries noodles
video873|a blonde sings a catchy song
video874|a man lining up miniature figurines and opening a chocolate egg
video875|the chemistry periodic table breaks apart and the squares containing br and ba move forward
video876|there is a man is riding through the sea very fastly
video877|a band is performing a song
video878|a group of men stand outside
video879|a group of men in uniforms are playing soccer on a professional field
video880|a basketball player runs on court
video881|a car is being rotated for people to see
video882|a cartoon character is shooting water gun
video883|a guy positions a ring around a black contraption
video884|a girl is making sounds into a microphone
video885|a boy flirting with a girl
video886|a football player is racing down the field to score a touchdown
video887|this is a video clip from the show what not to wear
video888|a woman had made some sort of dough and is wrapping if prior to refrigeration
video889|a baseball player runs into a paded wall
video890|audience gathered in the stadium to watch some match and to encourage them
video891|a demonstration of freddy kruger in mortal kombat
video892|a man demonstrates a knife
video893|a gamer is playing a pokemon game
video894|a group of men are talking about a mario kart video game
video895|there is a man mixing a dish in a pot
video896|a man shows how to fold a piece of origami
video897|a conductor orchestrating a symphony
video898|a girl is riding a bike down a street
video899|a black and white video of about ships
video900|a child is singing for an audience
video901|a man is showing cursive writing
video902|a demonstration of how to apply flashing
video903|a girl is singing on stage
video904|its a michel jackson show
video905|a baby monkey on the bed sleeping with someone craessing it
video906|all persons are talking each other on tv news channel
video907|a funny dorritos commercial that is sexually charged
video908|a man talking while wearing a suit
video909|a beautiful show of fireworks
video910| men in a wrestling ring
video911|a celebrity gets out of a cake and talks with a talk show host
video912|britney spears wears black leather clothing and comes out of opening elevator doors
video913|a person wearing a t shirt is speaking
video914|a man and woman are reporting news at the desk
video915|a demonstration on folding paper into origami
video916|a demonstration of how to reinstall various parts of a motor
video917|some one showing the video of firing on the machine
video918|a man in a blue shirt plays table tennis with a man in a red uniform bearing the number on his back
video919|a comedy program on stage
video920|a person shows how to fix the nipple of a bottle to feed a puppy
video921|a baby was born with two faces
video922|a black and white car is going at high speed
video923|a cartoon character flies around
video924|a lady in grey t shirt is showing some product and saying something
video925|a cell phone is taken apart and held up to the camera lens for observation
video926|a girl is talking to a guy and there are captions included
video927|a guy explaining something mechanical
video928|the girl in the black dress talk with her friends in the party hall
video929|a man changing his oil
video930|a baby is being taken care of
video931|a girl is talking something
video932|a girl is being interviewed for shoot em up
video933|a animated video
video934|a group of guys in forest planning to do something
video935|two men are discussing about the way the live their lives in the show
video936|a conductor is guiding an orchestra
video937|there is a black suit is talking with two people
video938|a hillary clinton campaign ad is shown
video939|a car car drifts around a corner
video940|it was aquarium where the women is explains about the fishes to his kid
video941|end slide that of a show that talks about car reviews auto shows and test drives
video942|a band is performing a song
video943|a boy and a girl are pretending to be in the sleeping beauty movie
video944|a reporter on a television news station talks about donald trump s campaign
video945| men are in a wrestling match
video946|a young student sharing his views in front of the camera
video947|a cnbc news anchor is discussing digital with a ceo on the ad market
video948|a cartoon character tries to lug around heavy items
video949|harry ritchie is talking about drama and what drama really is
video950|a blonde woman is performing a tutorial showing us step of the application of the creme
video951|a woman wearing a blue dress and doing yoga on a mate
video952|a lot of old people dresses in a particular native costumes
video953|a baby stroller for jogging is being showcased
video954|a man is running and a women is complaining about it
video955|a child fixing battery for a toy
video956|a close up look at a toy
video957|an older woman in a blue dress stirs up a concoction
video958|a woman with a man talking about the weight of backpack
video959|a man is walking
video960|a lady folding a stroller up
video961|a man describes some vehicle features
video962|a woman is demonstrating on how to put on makeup by putting it on a man
video963|a child is on stage
video964|a band hangs out on stage between performances
video965|a girl driving car
video966|a boy in a fireman s suit is driving a toy firetruck
video967|a band is performing their hit song
video968|a black and white video of a woman firing machine guns
video969|a man giving an energetic commentary on a video game football play
video970|a man with white t shirt answering the questions of the journalist
video971|a person doing a un boxing of a pet ballerina outfit
video972|a board is being shown and people are wrestling
video973|a man in dark athletic clothing runs rapidly down a track
video974|a clip containing various soccer games or practices
video975|a couple guys were checking out the tires on a vecile
video976|a celebrity is speaking in front of an audience
video977| d animated characters prepare surprise for friend
video978|two rugby teams tackle one another kick and catch the ball on a grassy field
video979|a bunch of people dancing with lights around them
video980|a bunch of people clap on a tv show
video981|a transgender man is talking about his personal style
video982|a man wearing a black shirt and jeans sitting in his room is talking with another man in a suit and red tie
video983|a band is performing
video984|a boy is covering his ears
video985|all persons are talking each other about amc movie talk
video986|a man explaining and giving news on a cartoon
video987|there is a black tshirt man is talking with a guy
video988|two people are walking down the street of a city together
video989|a clip of a tv game show and people are applauding
video990|a cartoon graphics clip
video991|a beautiful rhyme about the roadbus journey for children
video992|a group of people are bringing baskets to church to be blessed
video993|a man in a dark suit jacket stands in front of a blue couch and talks while holding a cell phone
video994|there is a woman is making a dish with boiled water
video995|a woman allows glowing blue butterflies to land on her arm then she passionately kisses a man
video996|a spider hanging on the wall
video997|two young girls are talking about getting a pet parrot
video998|a airplane is taking of and a car is driving on the road
video999|a guy shows off and discusses a revolver and other handguns
